Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
104,-0.2500,0.2500,500,299,0.3000,0.7000,0.2500,TANH,0.1126
105,-0.9500,0.9500,100,48,0.6500,0.4000,0.2500,TANH,0.1471
106,-0.2000,0.2000,500,304,0.4500,0.6500,0.3000,SELU,0.0559
107,-0.9500,0.9500,200,79,0.4000,0.7000,0.6000,SELU,0.1772
108,-0.5000,0.5000,900,500,0.3500,0.5500,0.5000,SELU,0.1099
109,-1.0000,1.0000,400,149,0.2500,0.5500,0.2500,TANH,0.1117
110,-0.9500,0.9500,800,375,0.5000,0.3500,0.4500,TANH,0.1710
111,-1.0500,1.0500,800,401,0.3000,0.7500,0.6000,SELU,0.1582
112,-0.4500,0.4500,300,120,0.3000,0.6000,0.3500,SELU,0.1266
113,-0.3500,0.3500,800,500,0.5000,0.5000,0.3500,SELU,0.0903
114,-0.7500,0.7500,600,366,0.3000,0.4500,0.5500,TANH,0.1192
115,-1.0000,1.0000,500,219,0.4500,0.8000,0.3500,SELU,0.1215
116,-0.2500,0.2500,400,157,0.3500,0.7000,0.2000,SELU,0.0530
117,-0.9000,0.9000,300,136,0.5500,0.7500,0.2000,SELU,0.0647
118,-0.8000,0.8000,100,72,0.5000,0.8000,0.2500,SELU,0.0692
119,-0.2500,0.2500,900,389,0.7000,0.3500,0.5500,TANH,0.0992
120,-0.0500,0.0500,300,152,0.6500,0.6000,0.3000,SELU,0.1153
121,-0.1000,0.1000,800,342,0.5500,0.7000,0.2000,SELU,0.1096
122,-0.1500,0.1500,300,166,0.6000,0.5000,0.5000,SELU,0.0718
123,-0.4500,0.4500,1000,500,0.3000,0.5500,0.3500,SELU,0.1448
124,-0.8500,0.8500,900,500,0.3500,0.6000,0.1500,TANH,0.0788
125,-0.5500,0.5500,300,122,0.7000,0.4500,0.4000,SELU,0.1145
126,-0.5500,0.5500,900,361,0.6500,0.6500,0.2500,SELU,0.0729
127,-1.0000,1.0000,200,85,0.6000,0.6500,0.2500,SELU,0.1401
128,-0.5000,0.5000,400,291,0.2000,0.5500,0.2000,SELU,0.1332
129,-0.1500,0.1500,300,112,0.3000,0.7500,0.1500,TANH,0.0881
130,-1.0000,1.0000,500,215,0.3000,0.3500,0.5500,TANH,0.0885
131,-0.4000,0.4000,400,189,0.3500,0.4500,0.5000,SELU,0.1009
132,-0.2500,0.2500,700,423,0.4000,0.7000,0.3500,SELU,0.1276
133,-0.1000,0.1000,800,500,0.6500,0.7500,0.2500,SELU,0.1002
134,-0.3500,0.3500,600,427,0.6500,0.3000,0.3000,TANH,0.0970
135,-0.9500,0.9500,200,126,0.3500,0.4000,0.5000,SELU,0.1067
136,-0.9500,0.9500,100,37,0.5000,0.7000,0.4000,TANH,0.1513
137,-0.4500,0.4500,500,192,0.5500,0.6000,0.5500,TANH,0.1544
138,-0.0500,0.0500,300,230,0.2500,0.7000,0.2000,SELU,0.0846
139,-1.0500,1.0500,100,38,0.4000,0.6000,0.2500,TANH,0.1245
140,-0.4000,0.4000,700,390,0.5000,0.7000,0.3000,SELU,0.0925
141,-0.1500,0.1500,800,430,0.6000,0.8000,0.2500,SELU,0.1063
142,-0.6000,0.6000,300,224,0.4000,0.8000,0.5500,SELU,0.1245
143,-0.5000,0.5000,900,378,0.2000,0.5500,0.2000,TANH,0.0715
144,-0.5500,0.5500,300,123,0.3500,0.4500,0.2500,SELU,0.0401
