Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
161,0.3837,-0.3837,274,0.6585,0.3946,0.2664,0.5258,0.1813
162,0.4529,-0.4529,285,0.6559,0.3122,0.2244,0.5236,0.1724
163,0.5484,-0.5484,304,0.5135,0.3970,0.2230,0.4405,0.1616
164,0.2138,-0.2138,282,0.5800,0.3802,0.2254,0.4826,0.2204
165,0.2521,-0.2521,286,0.5882,0.3345,0.1786,0.4485,0.2872
166,0.4195,-0.4195,283,0.5174,0.3247,0.2742,0.5297,0.1658
167,0.4457,-0.4457,290,0.5047,0.3021,0.2896,0.4411,0.2019
168,0.3621,-0.3621,290,0.6796,0.3556,0.2300,0.4947,0.2132
169,0.4504,-0.4504,295,0.5626,0.3405,0.1560,0.4870,0.2467
170,0.4100,-0.4100,265,0.6716,0.3994,0.2588,0.4251,0.1391
171,0.4844,-0.4844,316,0.6320,0.3037,0.1935,0.5500,0.3046
172,0.4246,-0.4246,277,0.6687,0.3139,0.2529,0.5489,0.1672
173,0.3644,-0.3644,292,0.5724,0.3506,0.2486,0.4499,0.2375
174,0.4754,-0.4754,297,0.6306,0.3011,0.2290,0.4565,0.2135
175,0.5711,-0.5711,320,0.6164,0.3517,0.1970,0.5369,0.2374
176,0.3781,-0.3781,303,0.5355,0.2807,0.1519,0.5117,0.2194
177,0.3857,-0.3857,285,0.5980,0.3864,0.2615,0.5239,0.2259
178,0.3818,-0.3818,313,0.5960,0.4152,0.2897,0.5381,0.2439
179,0.3558,-0.3558,276,0.5607,0.3302,0.2957,0.4499,0.2277
180,0.4638,-0.4638,280,0.5358,0.3731,0.2391,0.5204,0.2466
181,0.3877,-0.3877,298,0.5513,0.3799,0.2441,0.4346,0.2428
182,0.4545,-0.4545,260,0.6596,0.3930,0.1517,0.5209,0.2018
183,0.2749,-0.2749,296,0.6863,0.3012,0.1583,0.4321,0.3007
184,0.5313,-0.5313,275,0.6280,0.4085,0.2831,0.4763,0.2140
185,0.5888,-0.5888,260,0.5065,0.3147,0.2826,0.5316,0.2094
186,0.2665,-0.2665,304,0.6550,0.3009,0.2763,0.4920,0.1841
187,0.2477,-0.2477,276,0.6915,0.3723,0.2102,0.4448,0.1990
188,0.2161,-0.2161,279,0.6353,0.3360,0.1846,0.4270,0.2893
189,0.4916,-0.4916,287,0.6595,0.3826,0.2383,0.5246,0.2547
190,0.3647,-0.3647,318,0.6943,0.2946,0.2674,0.4855,0.2526
191,0.5540,-0.5540,310,0.6792,0.2818,0.2272,0.4498,0.2741
192,0.4716,-0.4716,281,0.6773,0.3953,0.1783,0.4481,0.2940
193,0.2248,-0.2248,290,0.6372,0.3914,0.1440,0.5039,0.2914
194,0.4738,-0.4738,293,0.6194,0.3755,0.2918,0.5237,0.2281
195,0.3368,-0.3368,280,0.6552,0.4153,0.2688,0.5117,0.2310
196,0.4173,-0.4173,261,0.6739,0.2927,0.2202,0.5480,0.2564
197,0.5172,-0.5172,271,0.6280,0.3303,0.2365,0.5279,0.2155
198,0.5285,-0.5285,304,0.6090,0.3402,0.1600,0.5012,0.2892
199,0.3833,-0.3833,281,0.5279,0.3840,0.2478,0.5162,0.2373
200,0.3238,-0.3238,314,0.6865,0.3284,0.2086,0.5060,0.2814
201,0.3703,-0.3703,283,0.6180,0.3025,0.2274,0.4499,0.2265
202,0.2209,-0.2209,308,0.6896,0.4038,0.1855,0.4711,0.2021
203,0.4672,-0.4672,284,0.6228,0.3510,0.1552,0.4571,0.2156
204,0.4863,-0.4863,285,0.5556,0.3208,0.2941,0.5015,0.1968
205,0.4173,-0.4173,296,0.6428,0.3082,0.2969,0.4525,0.2241
206,0.5558,-0.5558,318,0.6821,0.2910,0.1519,0.4596,0.3007
207,0.5291,-0.5291,285,0.6333,0.3941,0.1856,0.4568,0.1995
208,0.4669,-0.4669,317,0.5395,0.3034,0.2117,0.5018,0.2137
209,0.2830,-0.2830,320,0.6378,0.4166,0.2632,0.4567,0.2374
