Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
205,-0.25,0.25,800,422,0.2,0.6,0.3,SELU,0.0979
206,-1,1,500,264,0.5,0.6,0.5,SELU,0.094
207,-0.4,0.4,500,185,0.2,0.6,0.45,SELU,0.1543
208,-0.1,0.1,700,350,0.25,0.75,0.25,SELU,0.0755
209,-0.6,0.6,500,350,0.35,0.5,0.45,TANH,0.0627
210,-0.1,0.1,400,232,0.65,0.3,0.2,SELU,0.0341
211,-0.7,0.7,600,292,0.45,0.55,0.35,SELU,0.0941
212,-1.1,1.1,400,156,0.3,0.35,0.35,SELU,0.2005
213,-0.55,0.55,200,119,0.25,0.65,0.15,TANH,0.0715
214,-0.25,0.25,900,365,0.35,0.65,0.25,TANH,0.1121
215,-0.95,0.95,900,500,0.3,0.35,0.45,TANH,0.1228
216,-0.7,0.7,400,269,0.65,0.65,0.4,TANH,0.094
217,-0.85,0.85,1000,500,0.35,0.35,0.4,SELU,0.1447
218,-0.3,0.3,900,347,0.3,0.65,0.45,TANH,0.1637
219,-0.4,0.4,300,140,0.4,0.8,0.4,TANH,0.1397
220,-0.95,0.95,800,334,0.2,0.6,0.55,SELU,0.0875
221,-0.55,0.55,100,50,0.5,0.3,0.2,TANH,0.1315
222,-0.85,0.85,700,354,0.5,0.4,0.2,SELU,0.0764
223,-0.3,0.3,100,39,0.4,0.5,0.4,SELU,0.1444
224,-0.65,0.65,700,479,0.3,0.7,0.2,TANH,0.0831
225,-0.55,0.55,600,451,0.3,0.45,0.35,SELU,0.173
226,-1.1,1.1,800,500,0.2,0.45,0.4,SELU,0.1104
227,-0.15,0.15,100,68,0.55,0.4,0.2,SELU,0.104
228,-0.85,0.85,500,312,0.3,0.75,0.25,SELU,0.1006
229,-1.05,1.05,200,95,0.45,0.6,0.2,SELU,0.0908
230,-0.15,0.15,100,64,0.45,0.7,0.4,SELU,0.1213
231,-0.9,0.9,100,72,0.45,0.5,0.25,SELU,0.1243
232,-0.2,0.2,100,55,0.4,0.5,0.4,SELU,0.1254
233,-0.6,0.6,800,492,0.55,0.45,0.3,TANH,0.0932
234,-0.1,0.1,700,370,0.3,0.6,0.3,SELU,0.111
